id,year,award,prefix,name,gender,place,state,stateClass,indiaClass,area,areaClass
3402,2009,Padma Bhushan,Prof. (Dr.),Minoru,Male,Japan,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3936,2013,Padma Shri,Prof.,Noboru,Male,Japan,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
4056,2014,Padma Shri,Prof. (Dr.),Sengaku,Male,Japan,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
2907,2004,Padma Shri,Shri,Aubakir Dastanuly Nilibayev,Male,Kazakhstan,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3051,2006,Padma Bhushan,Mr.,Gregory Bongard-Levin,Male,Russia,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
2521,2000,Padma Shri,Prof.,Grigoriy Lvovitch Bondarevsky,Male,Russia,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
2147,1991,Padma Shri,Dr.,Madan Lal Madhu,Male,Russia,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3205,2007,Padma Shri,Ms.,Mira alias Mariam L'vovna Salganik,Female,Russia,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3222,2007,Padma Shri,Prof.,Rybakov,Male,Russia,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
2885,2004,Padma Shri,Dr.(Smt.),Tatyana Yakovlevna Elizarenkova,Female,Russia,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
2686,2002,Padma Bhushan,Shri,Yevgeni Petrovich Chelyshev,Male,Russia,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
2703,2002,Padma Shri,Dr.,Kim Yang Shik,Male,South Korea,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3803,2012,Padma Shri,Dr.,Eberhard Fischer,Male,Switzerland,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3500,2009,Padma Shri,Shri,Sunny,Male,UAE,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
2408,1999,Bharat Ratna,Prof.,Amartya Sen,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3170,2007,Padma Bhushan,Prof.,Bhikhu Parekh,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
2013,1990,Padma Bhushan,Prof.,Bimal Krishna Matilal,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3931,2013,Padma Shri,Prof.,Christopher Pinney,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
926,1971,Padma Shri,Miss,Grace Mary Linnell,Female,United Kingdom,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3735,2011,Padma Shri,Shri,Granville Austin,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3435,2009,Padma Shri,Dr.,John Ralston Marr,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
1678,1984,Padma Bhushan,Miss,Marie,Female,United Kingdom,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
1411,1976,Padma Shri,Dr.,Raghubhai Morarji Nayak,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3172,2007,Padma Bhushan,Prof.,Tapan Kumar Raychaudhuri,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
713,1969,Padma Shri,Dr.,Tarapada,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3248,2007,Padma Shri,Shri,Vikram,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
2334,1992,Padma Shri,Shri,William Mark Tully,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3226,2007,Padma Shri,Shri,Amitav Ghosh,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3998,2014,Padma Bhushan,Ms.,Anita Desai,Female,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3782,2012,Padma Bhushan,Prof.,Arvind Panagariya,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
1417,1976,Padma Shri,Prof.,Attipat Krishnaswamy Ramanujan,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
4222,2016,Padma Vibhushan,Shri,Avinash Kamlakar Dixit,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
4222,2017,Padma Vibhushan,Shri,Avinash Kamlakar Dixit,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
2628,2001,Padma Shri,Prof.,Bala V. Balachandran,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3405,2009,Padma Bhushan,Prof.,C.K. Prahalad,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
4132,2015,Padma Bhushan,Shri,David Frawley,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
1386,1976,Padma Bhushan,Dr.,Ennacal Chandy George Sudarshan,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3521,2010,Padma Bhushan,Dr.,Fareed Rafiq Zakaria,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3891,2013,Padma Bhushan,Prof.,Gayatri Chakravorty Spivak,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
4184,2015,Padma Shri,Shri,George L. Hart,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
1446,1976,Padma Shri,Smt.,Gertrude Emerson Sen,Female,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
684,1969,Padma Bhushan,Shri,Gobind Behari Lal,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
1463,1977,Padma Bhushan,Dr.,Harish Chandra,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3783,2012,Padma Bhushan,Prof.,Homi K. Bhabha,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
1679,1984,Padma Bhushan,Mr.,Horace Alexander,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
2479,2000,Padma Vibhushan,Prof.,Jagdish Natwarlal Bhagwati,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3171,2007,Padma Bhushan,Prof.,Jeffrey D. Sachs,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
2558,2001,Padma Vibhushan,Shri,John Kenneth Galbraith,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3776,2012,Padma Bhushan,Dr.,Jose,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
